poleNo,brand,model,material,type,colour,gender,eyeSize,bridgeSize,sideLength,barcode,patientSideLength,patientFaceWidth,isSunglass,vari,FaceShapes,AgeKeywords,View,Front,Side
13A,Stepper,SI-50105,Titanium,Fullrim,Purple,Female,52,15,130,505478142650,SmallSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/13A1.jpg,/Images/FrameImages/13A2.jpg,/Images/FrameImages/13A3.jpg
13B,Stepper,SI-30072,Plastic,Fullrim,Pink,Female,52,14,130,505478142650,SmallSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/13B1.jpg,/Images/FrameImages/13B2.jpg,/Images/FrameImages/13B3.jpg
13C,Stepper,SI-30053,Plastic,Fullrim,Black,Female,52,14,130,505478142650,SmallSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/13C1.jpg,/Images/FrameImages/13C2.jpg,/Images/FrameImages/13C3.jpg
13D,Stepper,SI3041,Titanium,Supra,Bronze,Female,52,18,135,505478142650,MediumSL,MediumPD,0,1,Oval Square,Modern Traditional,/Images/FrameImages/13D1.jpg,/Images/FrameImages/13D2.jpg,/Images/FrameImages/13D3.jpg
13E,Stepper,SI3146,Titanium,Fullrim,Gold,Female,54,13,135,505478142650,MediumSL,MediumPD,0,1,Oval Round,Traditional,/Images/FrameImages/13E1.jpg,/Images/FrameImages/13E2.jpg,/Images/FrameImages/13E3.jpg
13F,Stepper,SI3146,Titanium,Rimless,Gold,Female,53,16,135,505478142650,MediumSL,MediumPD,0,1,Oval Square,Traditional,/Images/FrameImages/13F1.jpg,/Images/FrameImages/13F2.jpg,/Images/FrameImages/13F3.jpg
13G,Stepper,SI50002,Titanium,Supra,Lilac,Female,54,17,135,505478142650,MediumSL,LargePD,0,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/13G1.jpg,/Images/FrameImages/13G2.jpg,/Images/FrameImages/13G3.jpg
13H,Stepper,SI3580,Titanium,Rimless,Lilac,Female,51,16,135,505478142650,MediumSL,MediumPD,0,0,Oval Round,Traditional,/Images/FrameImages/13H1.jpg,/Images/FrameImages/13H2.jpg,/Images/FrameImages/13H3.jpg
13I,Stepper,SI-94945,Titanium,Rimless,Purple,Female,54,13,135,505478142650,MediumSL,MediumPD,0,0,Oval Round,Traditional,/Images/FrameImages/13I1.jpg,/Images/FrameImages/13I2.jpg,/Images/FrameImages/13I3.jpg
13K,Rochas,RO9147,Metal,Fullrim,Silver,Female,52,18,135,505478142650,MediumSL,MediumPD,0,1,Oval Square,Modern Traditional,/Images/FrameImages/13K1.jpg,/Images/FrameImages/13K2.jpg,/Images/FrameImages/13K3.jpg
13L,Rochas,RO9148,Metal,Supra,Red,Female,51,18,135,505478142650,MediumSL,MediumPD,0,0,Oval Round,Modern Traditional,/Images/FrameImages/13L1.jpg,/Images/FrameImages/13L2.jpg,/Images/FrameImages/13L3.jpg
13N,Rochas,RO9117,Metal,Supra,Bronze,Female,54,17,135,505478142650,MediumSL,LargePD,0,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/13N1.jpg,/Images/FrameImages/13N2.jpg,/Images/FrameImages/13N3.jpg
13O,Rochas,RO9093,Metal,Supra,Gold,Female,51,18,135,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/13O1.jpg,/Images/FrameImages/13O2.jpg,/Images/FrameImages/13O3.jpg
13P,Rochas,RO9134,Metal,Supra,Lilac,Female,52,18,135,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/13P1.jpg,/Images/FrameImages/13P2.jpg,/Images/FrameImages/13P3.jpg
13Q,Rochas,RO9147,Metal,Fullrim,Gold,Female,52,18,135,505478142650,MediumSL,MediumPD,0,0,Oval ,Modern Traditional,/Images/FrameImages/13Q1.jpg,/Images/FrameImages/13Q2.jpg,/Images/FrameImages/13Q3.jpg
13R,Rochas,RO9092,Metal,Fullrim,Blue,Female,50,18,135,505478142650,MediumSL,MediumPD,0,1,Oval Rectangular,Modern Traditional,/Images/FrameImages/13R1.jpg,/Images/FrameImages/13R2.jpg,/Images/FrameImages/13R3.jpg
14A,Luxe,AS320,Metal,Supra,Bronze,Female,51,17,135,505478142650,MediumSL,MediumPD,0,1,Oval Round,Traditional,/Images/FrameImages/14A1.jpg,/Images/FrameImages/14A2.jpg,/Images/FrameImages/14A3.jpg
14B,Luxe,AS348,Metal,Fullrim,Black,Female,53,18,135,505478142650,MediumSL,MediumPD,0,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/14B1.jpg,/Images/FrameImages/14B2.jpg,/Images/FrameImages/14B3.jpg
14C,Luxe,AS339,Metal,Supra,Bronze,Female,50,18,135,505478142650,MediumSL,MediumPD,0,0,Oval Square,Traditional,/Images/FrameImages/14C1.jpg,/Images/FrameImages/14C2.jpg,/Images/FrameImages/14C3.jpg
14D,Luxe,AS346,Plastic,Metal,Bronze,Female,54,17,130,505478142650,SmallSL,LargePD,0,1,Oval Rectangular,Traditional,/Images/FrameImages/14D1.jpg,/Images/FrameImages/14D2.jpg,/Images/FrameImages/14D3.jpg
14E,Luxe,AS320,Metal,Supra,Silver,Female,51,17,135,505478142650,MediumSL,MediumPD,0,1,Oval Round,Traditional,/Images/FrameImages/14E1.jpg,/Images/FrameImages/14E2.jpg,/Images/FrameImages/14E3.jpg
14F,Luxe,AS317,Metal,Fullrim,Blush,Female,53,17,135,505478142650,MediumSL,MediumPD,0,1,Oval Rectangular,Traditional,/Images/FrameImages/14F1.jpg,/Images/FrameImages/14F2.jpg,/Images/FrameImages/14F3.jpg
14G,Luxe,AS317,Metal,Supra,Bronze,Female,52,17,135,505478142650,MediumSL,MediumPD,0,0,Oval Rectangular,Traditional,/Images/FrameImages/14G1.jpg,/Images/FrameImages/14G2.jpg,/Images/FrameImages/14G3.jpg
14H,Luxe,AS344,Metal,Fullrim,Bronze,Female,52,16,135,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/14H1.jpg,/Images/FrameImages/14H2.jpg,/Images/FrameImages/14H3.jpg
14I,Luxe,AS347,Plastic,Fullrim,Black,Female,53,18,135,505478142650,MediumSL,MediumPD,0,0,Oval Round,Modern Traditional,/Images/FrameImages/14I1.jpg,/Images/FrameImages/14I2.jpg,/Images/FrameImages/14I3.jpg
14K,Mugler,TR1076,Plastic,Fullrim,Burgundy,Female,51,13,140,505478142650,LargeSL,SmallPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/14K1.jpg,/Images/FrameImages/14K2.jpg,/Images/FrameImages/14K3.jpg
14L,Mugler,TR1062,Plastic,Fullrim,Black,Female,52,15,135,505478142650,MediumSL,MediumPD,0,1,Oval Square,Modern Traditional,/Images/FrameImages/14L1.jpg,/Images/FrameImages/14L2.jpg,/Images/FrameImages/14L3.jpg
14M,Mugler,TR1063,Metal,Fullrim,Black,Female,52,15,135,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/14M1.jpg,/Images/FrameImages/14M2.jpg,/Images/FrameImages/14M3.jpg
